Q,A
코트 가디건 ??,염소
이번에 인스타에 계정을 만들라고 하는뎁느낌이 약간 그림이랑 같이 내 일상에서 느끼는 점들이랑 그것과 관련된 다시 한번 생각해볼수있는??!살면서 다시 돌아보니까 나 그런거 좋아했지 싶은 자기 자신을 떠올릴수있는 질문같은거 올릴라하는뎁 아이디 추천해줘!!정리하자면 #일상 #큐앤에이 #fucus on me !!,Batbung_ilsang
우리학교 원룸중에 큰 원룸이 어디야?,긱사쪽 제일끝 건물 두개 여기 방 개큼 또바기? 거기도 크다고 들은거같고
그 과걸로 새로 살수있나? 새로운 신입생 들어올때,ㄴㄴ
방송 뭐래?,ㅈㄴ 얼척... 밤 11시에 방송을 하냐
니들은 문 쾅쾅 닫히는 소리 안신경쓰여? 소리만 큰것도 아니고 방 안에 침대가 울리는데ㅋㅋ 시발 진짜 존나 얘기를 쳐 해도 고칠생각을 안함 다른데도 문 쾅쾅 닫고 다니는 애들 많은거 같은데 걍 사는거임???개빡치네,울릴정도는 아니라 그정도면 쪽지붙여봐..
햄버거 가게같은 저녁 때울 가게 있음?,서브웨이 있어
나만 아직도 못했나ㅜㅜ 내일 밤에 내면 안되겠지..,나도 아직 안했어ㅠ
왜 이렇게 깝치냐?,혼내줄까?
ㅇㅇ,친구계정
휴학생이라 올해는 본가지역에서 받을예정인데 유성구빡세면 전국단위신청으로 가야겟네 내년엔 ㄷㄷ,산타는거 빼곤 ㄱㅊ
어떻게 앞뒤사정은 쏙 빼놓고  이태원참사로 자극적으로 써서 돈벌 생각을 하냐..?니들이 사람이냐?,숟가락얹기
입론 3분이랑 최종발언 1분 30초 분량으로 쓰면됨? 교차조사나 자유토론은 실전에서 하는거고?,우리교수님은 입론 1분30초였어여
내일 수업하는지 안하는지 기억이안나는데 아시는분..?,하지 않나요?
어디서 하는지 아시는 분 있나요..? 찾아봐도 장소가 안 뜨네요..,아마 내일 문자 올거에요. 잘 부탁드립니다
성경 과제 있다고 집에 찾아다님? 이것도 사이비임? 아니면 순수하게 정말 과제임?,ㅅㅇㅂ
목요일 오전수업 통보세 비대면인가요?,대면이에요
._.,서로 아 아 아 이러고 있던데 ㅋㅋㅋ
dock에서 어플들어가는 아이콘을 모르고 삭제했어요..복구방법 아는사람있나요?,파인더에서 응용프로그램 폴더 보면 런치패드 아이콘 있음끌어서 독으로 옮겨
끝났어?,ㅇㅇ
